shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1091_shp,42.4140700,-76.5007600,19795,20997.9660560
1091_shp,42.4137300,-76.5005800,19796,21131.0692270
1091_shp,42.4131100,-76.5006600,19797,21358.0525260
1091_shp,42.4131100,-76.5006600,19798,21358.0525260
1091_shp,42.4124100,-76.5014200,19799,21685.4738290
1091_shp,42.4121000,-76.5016100,19800,21809.5564410
1091_shp,42.4115400,-76.5016100,19801,22013.6427950
1091_shp,42.4110400,-76.5012100,19802,22225.4765120
1091_shp,42.4115700,-76.5005800,19803,22482.8780800
1092_shp,42.4404600,-76.4965000,19804,0.0000000
1092_shp,42.4404400,-76.4968400,19805,92.0677440
1092_shp,42.4403700,-76.4990500,19806,689.1753800
1092_shp,42.4402900,-76.5017600,19807,1421.2883130
1092_shp,42.4398800,-76.5017800,19808,1570.8069190
1092_shp,42.4398800,-76.5017800,19809,1570.8069190
1092_shp,42.4385800,-76.5017200,19810,2044.8578540
1092_shp,42.4386700,-76.4977200,19811,3125.1374560
1092_shp,42.4386700,-76.4976600,19812,3141.3341680
1092_shp,42.4386700,-76.4976600,19813,3141.3341680
1092_shp,42.4387200,-76.4961700,19814,3543.9649020
1092_shp,42.4388400,-76.4952300,19815,3801.4540130
1092_shp,42.4391800,-76.4943800,19816,4062.2259990
1092_shp,42.4394900,-76.4942500,19817,4180.5275970
1092_shp,42.4396100,-76.4952500,19818,4453.9886430
1092_shp,42.4396500,-76.4956400,19819,4560.2701520
1092_shp,42.4393900,-76.4955600,19820,4657.4547050
1092_shp,42.4392500,-76.4954800,19821,4712.8585720
1092_shp,42.4392500,-76.4954800,19822,4712.8585720
1092_shp,42.4392500,-76.4954800,19823,4712.8585720
1092_shp,42.4383800,-76.4949100,19824,5065.2861680
1092_shp,42.4383700,-76.4946800,19825,5127.4807220
1092_shp,42.4381100,-76.4933500,19826,5498.8036300
1092_shp,42.4379600,-76.4930000,19827,5607.9604110
1092_shp,42.4367300,-76.4922500,19828,6099.8253720
1092_shp,42.4357900,-76.4923200,19829,6442.9211530
1092_shp,42.4357900,-76.4923200,19830,6442.9211530
1092_shp,42.4350900,-76.4921800,19831,6700.8145560
1092_shp,42.4337500,-76.4916900,19832,7206.7648100
1092_shp,42.4337500,-76.4916900,19833,7206.7648100
1092_shp,42.4328900,-76.4915800,19834,7521.5880470
1092_shp,42.4309100,-76.4924100,19835,8277.1729310
1092_shp,42.4309100,-76.4924100,19836,8277.1729310
1092_shp,42.4305800,-76.4924500,19837,8397.9223800
1092_shp,42.4303500,-76.4923600,19838,8485.1946010
1092_shp,42.4293800,-76.4914300,19839,8918.7970150
1092_shp,42.4293800,-76.4914300,19840,8918.7970150
1092_shp,42.4291500,-76.4912000,19841,9023.1139880
1092_shp,42.4268400,-76.4889200,19842,10066.0253030
1092_shp,42.4268400,-76.4889200,19843,10066.0253030
1092_shp,42.4266400,-76.4887200,19844,10156.7369790
1092_shp,42.4265500,-76.4886400,19845,10196.0099790
1092_shp,42.4262100,-76.4892300,19846,10397.8261400
1092_shp,42.4261700,-76.4893200,19847,10426.1632520
1092_shp,42.4263200,-76.4897700,19848,10559.3941540
1092_shp,42.4264200,-76.4906600,19849,10802.4402370
1092_shp,42.4263100,-76.4913500,19850,10993.0032560
1092_shp,42.4261900,-76.4915400,19851,11060.4141400
1092_shp,42.4260100,-76.4916300,19852,11130.3695600
1092_shp,42.4253700,-76.4916600,19853,11363.7522800
1092_shp,42.4251200,-76.4920000,19854,11493.0909160
1092_shp,42.4251200,-76.4920000,19855,11493.0909160
1092_shp,42.4250400,-76.4922400,19856,11564.1484890
1092_shp,42.4247400,-76.4936000,19857,11947.2851530
1092_shp,42.4247100,-76.4938700,19858,12021.0017980
1092_shp,42.4246700,-76.4940800,19859,12079.5468310
1092_shp,42.4245700,-76.4944300,19860,12180.8324850
